id;name;type;industry;website;phone_number;email;address_line1;address_line2;city;state;postal_code;country;annual_revenue;parent_account_id;created_at;updated_at;status;assigned_to_user_id;notes
1;Acme Corporation;Customer-Direct;Manufacturing;www.acme.com;+1234567890;contact@acme.com;123 Industrial Way;Suite 100;Metropolis;NY;12345;USA;5M;NULL;2023-01-01 10:00:00;2023-01-01 10:00:00;Active;1;Key customer in manufacturing
2;Globex Corporation;Partner;Finance;www.globex.com;+1987654321;info@globex.com;456 Finance Ave;Floor 5;Springfield;IL;67890;USA;10M;NULL;2023-01-02 11:00:00;2023-01-02 11:00:00;Prospect;2;Important financial partner
3;Initech;Supplier;Technology;www.initech.com;+1029384756;support@initech.com;789 Tech Park;Building A;Silicon Valley;CA;54321;USA;8M;1;2023-01-03 12:00:00;2023-01-03 12:00:00;Suspended;1;Supplies critical tech components
4;Umbrella Corp;Customer-Direct;Pharmaceuticals;www.umbrella.com;+1092837465;service@umbrella.com;101 Pharma Rd;Lab 3;Raccoon City;TX;87654;USA;12M;NULL;2023-01-04 09:00:00;2023-01-04 09:00:00;Active;2;Primary client in pharmaceuticals
5;Wayne Enterprises;Customer-Direct;Aerospace;www.wayne.com;+1239876543;contact@wayne.com;123 Wayne Plaza;Level 10;Gotham;NY;11223;USA;50M;2;2023-01-05 15:00:00;2023-01-05 15:00:00;Converted;1;Large client in aerospace
6;Stark Industries;Supplier;Engineering;www.starkindustries.com;+1098765432;sales@stark.com;234 Stark Tower;;New York;NY;10001;USA;75M;3;2023-01-06 14:30:00;2023-01-06 14:30:00;Closed;2;Supplies engineering solutions
7;Oscorp;Customer-Direct;Chemicals;www.oscorp.com;+1029384756;contact@oscorp.com;312 Industrial Blvd;Suite 120;Newark;NJ;07801;USA;60M;NULL;2023-01-07 09:00:00;2023-01-07 09:00:00;Referral;1;Main supplier in chemicals
8;Pied Piper;Partner;Tech;www.piedpiper.com;+1231231234;info@piedpiper.com;456 Code St;Suite 2;Palo Alto;CA;94301;USA;3M;NULL;2023-01-08 08:30:00;2023-01-08 08:30:00;Former Customer;2;Startup focused on data compression
9;Hooli;Competitor;Technology;www.hooli.com;+1122334455;info@hooli.com;678 Main St;;Mountain View;CA;94043;USA;100M;1;2023-01-09 12:00:00;2023-01-09 12:00:00;Inactive;1;Main competitor in technology sector
10;Wonka Industries;Customer-Direct;Food;www.wonka.com;+1092837465;sales@wonka.com;101 Chocolate Rd;Factory 1;Scranton;PA;18501;USA;30M;NULL;2023-01-10 10:30:00;2023-01-10 10:30:00;Pending;2;Specializes in confectionery products
11;Duff Brewery;Customer-Direct;Beverages;www.duff.com;+1236547890;contact@duff.com;23 Ale Ln;Unit 7;Springfield;IL;62704;USA;15M;2;2023-01-11 14:00:00;2023-01-11 14:00:00;Prospect;1;Major beverage supplier
12;MomCorp;Supplier;Robotics;www.momcorp.com;+1212121212;sales@momcorp.com;789 Robo Rd;;New New York;NY;10001;USA;40M;3;2023-01-12 15:30:00;2023-01-12 15:30:00;Inactive;2;Supplier of high-tech robotic components
13;Rich Industries;Partner;Finance;www.richindustries.com;+1133557799;info@richindustries.com;100 Wealth Ave;;Los Angeles;CA;90001;USA;25M;NULL;2023-01-13 16:00:00;2023-01-13 16:00:00;Referral;1;Financial services provider
14;Shady Acres;Customer-Direct;Real Estate;www.shadyacres.com;+1098877665;contact@shadyacres.com;456 Real St;Building 5;Miami;FL;33101;USA;85M;NULL;2023-01-14 17:00:00;2023-01-14 17:00:00;Closed;2;Real estate management services
15;Aperture Science;Supplier;Research;www.aperturescience.com;+1087654321;support@aperturescience.com;89 Test Ln;;Detroit;MI;48201;USA;90M;NULL;2023-01-15 11:30:00;2023-01-15 11:30:00;Suspended;1;Supplies advanced research equipment
16;Tyrell Corp;Customer-Direct;Biotech;www.tyrell.com;+1065432198;contact@tyrell.com;11 Clone Blvd;;Los Angeles;CA;90001;USA;110M;1;2023-01-16 13:15:00;2023-01-16 13:15:00;Converted;2;Focus on biotechnology innovations
17;LexCorp;Competitor;Technology;www.lexcorp.com;+1029387456;info@lexcorp.com;55 Power Rd;HQ;Metropolis;NY;10036;USA;120M;NULL;2023-01-17 09:45:00;2023-01-17 09:45:00;Active;1;Competitor in tech solutions
18;Daily Bugle;Customer-Direct;Media;www.dailybugle.com;+1045678392;contact@dailybugle.com;789 Press Ln;;New York;NY;10001;USA;20M;NULL;2023-01-18 10:20:00;2023-01-18 10:20:00;Inactive;2;Mainstream media company
19;Weyland-Yutani;Customer-Direct;Aerospace;www.weylandyutani.com;+1067894321;support@weylandyutani.com;123 Space Rd;;San Francisco;CA;94103;USA;200M;2;2023-01-19 14:00:00;2023-01-19 14:00:00;Prospect;1;Pioneer in aerospace technology
20;Cyberdyne Systems;Supplier;Defense;www.cyberdyne.com;+1012345678;sales@cyberdyne.com;34 Skynet Dr;;Austin;TX;73301;USA;300M;NULL;2023-01-20 12:40:00;2023-01-20 12:40:00;Pending;2;Supplier for defense solutions
