entity_type;value_key;value;description;is_default
account;type;"Customer-Direct";"A customer who purchases products or services directly from your business";false
account;type;"Customer-Channel";"A customer who purchases through a channel partner or distributor";false
account;type;"Reseller";"A business that resells your products or services to end customers";false
account;type;"Prospect";"A potential customer or lead that may eventually convert into a customer";false
account;type;"Partner";"A business that collaborates with you but doesn't directly purchase your products";false
account;type;"Supplier";"A company that provides goods or services to your business";false
account;type;"Distributor";"A business that distributes your products or services to other customers or regions";false
account;type;"Consultant";"An external consultant who works with your business";false
account;type;"Government";"A public sector entity, such as a local, state, or federal government organization";false
account;type;"Non-Profit";"A non-profit organization that may have different needs compared to commercial customers";false
account;type;"OEM (Original Equipment Manufacturer)";"A company that manufactures products that are used as components in another company’s final product";false
account;type;"Investor";"An individual or entity that has invested in your business";false
account;type;"Competitor";"A business in the same industry that offers competing products or services";false
account;type;"Affiliate";"A company affiliated with your business through partnerships or other relationships";false
account;type;"Franchise";"A franchisee that operates under your business's brand, providing services in specific regions";false
account;type;"Other";"Other type is not listed yet";false
account;industry;"Retail";"Retail businesses selling goods directly to consumers";false
account;industry;"Information Technology";"Companies providing IT products or services";false
account;industry;"Finance";"Banks, investment firms, and financial services";false
account;industry;"Healthcare";"Hospitals, clinics, and pharmaceutical companies";false
account;industry;"Manufacturing";"Businesses producing goods from raw materials";false
account;industry;"Education";"Schools, universities, and educational institutions";false
account;industry;"Telecommunications";"Providers of communication services like internet and mobile";false
account;industry;"Hospitality";"Hotels, restaurants, and other service-oriented businesses";false
account;industry;"Government";"Local, state, and federal government entities";false
account;industry;"Non-Profit";"Charitable organizations and NGOs";false
account;industry;"Energy";"Oil, gas, renewable energy, and utility companies";false
account;industry;"Transportation and Logistics";"Businesses involved in moving goods or people";false
account;industry;"Real Estate";"Property development, sales, and leasing businesses";false
account;industry;"Media & Entertainment";"Companies in film, TV, music, and digital content";false
account;industry;"Construction";"Businesses in building infrastructure, homes, and properties";false
account;industry;"Legal";"Law firms and businesses providing legal services";false
account;industry;"Agriculture";"Farming, livestock, and agribusiness companies";false
account;industry;"Automotive";"Car manufacturers, dealerships, and service providers";false
account;industry;"Aerospace & Defense";"Companies in aviation, space, and defense sectors";false
account;industry;"Food & Beverage";"Businesses producing and selling food and drinks";false
account;industry;"Retail - E-Commerce";"Online retail businesses";false
account;industry;"Pharmaceutical";"Companies developing and manufacturing drugs";false
account;industry;"Insurance";"Providers of insurance products and services";false
account;industry;"Consulting";"Professional firms offering business or strategy consulting";false
account;status;"Active";"The account is currently active and operational";false
account;status;"Inactive";"The account is currently inactive";false
account;status;"Prospect";"The account is a potential customer";false
account;status;"Suspended";"The account has been temporarily suspended";false
account;status;"Closed";"The account is permanently closed";false
account;status;"Pending";"The account is pending further review or action";false
account;status;"Cancelled";"The account has been cancelled";false
account;status;"Lead";"The account is a potential lead";false
account;status;"On Hold";"The account is on hold and awaiting further action";false
account;status;"Converted";"The account has been converted from a lead to a customer";false
account;status;"Former Customer";"The account was previously a customer but no longer active";false
account;status;"Trial";"The account is in a trial period";false
account;status;"VIP";"The account is a high-priority or VIP customer";false
account;status;"Referral";"The account was referred by another customer";false
contact;status;"Active";"The contact is currently active and reachable";false
contact;status;"Inactive";"The contact is no longer active";false
contact;status;"Prospect";"The contact is a potential customer";false
contact;status;"Lead";"The contact is a potential lead";false
contact;status;"Former Contact";"The contact was previously associated but is no longer relevant";false
contact;status;"Do Not Contact";"The contact has requested not to be contacted";false
contact;status;"On Hold";"The contact is on hold for further action";false
contact;status;"Converted";"The contact has been converted from a lead to a customer contact";false
contact;status;"VIP";"The contact is a high-priority or VIP individual";false
contact;status;"Referral";"The contact was referred by another customer or contact";false
contact;status;"Unsubscribed";"The contact has unsubscribed from communications";false
contact;status;"Pending Verification";"The contact is pending verification";false
contact;lead_source;"Website";"Lead came through the company's website";false
contact;lead_source;"Referral";"Lead was referred by an existing customer or contact";false
contact;lead_source;"Social Media";"Lead was generated through social media platforms";false
contact;lead_source;"Email Campaign";"Lead was generated through an email marketing campaign";false
contact;lead_source;"Cold Call";"Lead was generated from a cold call";false
contact;lead_source;"Event";"Lead was generated at an event or conference";false
contact;lead_source;"Trade Show";"Lead was generated at a trade show";false
contact;lead_source;"Partner";"Lead came through a partner organization";false
contact;lead_source;"Advertisement";"Lead was generated through an online or offline advertisement";false
contact;lead_source;"Direct Mail";"Lead was generated through direct mail outreach";false
contact;lead_source;"Walk-In";"Lead came in through a physical location or office";false
contact;lead_source;"Television Ad";"Lead was generated through a television advertisement";false
contact;lead_source;"Radio Ad";"Lead was generated through a radio advertisement";false
contact;lead_source;"Search Engine";"Lead came from a search engine result or paid search ad";false
contact;lead_source;"Webinar";"Lead was generated through a webinar";false
contact;lead_source;"Survey";"Lead was generated through a survey or feedback form";false
contact;lead_source;"Affiliate";"Lead was generated through an affiliate marketing program";false
contact;lead_source;"Online Marketplace";"Lead was generated through an online marketplace";false
